Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
2.062037000912317e+101,2.062037000912317e+101,2.062037000912317e+101,2.062037000912317e+101,746705.1338139125
2.887249649640554e+35,2.887249649640554e+35,2.887249649640554e+35,2.887249649640554e+35,5.008707148599509e+27
1.2181321077212364e+100,1.2181321077212364e+100,1.2181321077212364e+100,1.2181321077212364e+100,5.833218222009367e+35
1.14599421079832e+99,1.14599421079832e+99,1.14599421079832e+99,1.14599421079832e+99,1177805.5596220077
2.877741114484746e+97,2.877741114484746e+97,2.877741114484746e+97,2.877741114484746e+97,9.247751764869175e+36
6.570427883768928e+98,6.570427883768928e+98,6.570427883768928e+98,6.570427883768928e+98,1.1350857333041042e+97
1.0838159371141263e+100,1.0838159371141263e+100,1.0838159371141263e+100,1.0838159371141263e+100,1.4255701975791041e+31
1.4148842510385753e+96,1.4148842510385753e+96,1.4148842510385753e+96,1.4148842510385753e+96,515597921.8001437
1.6938533539181353e+39,1.6938533539181353e+39,1.6938533539181353e+39,1.6938533539181353e+39,259240598.3008688
6.384135139371749e+37,6.384135139371749e+37,6.384135139371749e+37,6.384135139371749e+37,0.6779313181518307
6.786159506025067e+99,6.786159506025067e+99,6.786159506025067e+99,6.786159506025067e+99,5.63820259616611e+27
9.819649830734335e+93,9.819649830734335e+93,9.819649830734335e+93,9.819649830734335e+93,3.457246164785926e+36
7.138268747560979e+39,7.138268747560979e+39,7.138268747560979e+39,7.138268747560979e+39,5.400726575281705e+31
9.89905999096843e+94,9.89905999096843e+94,9.89905999096843e+94,9.89905999096843e+94,6.494291941985597e+99
5.281727935767834e+98,5.281727935767834e+98,5.281727935767834e+98,5.281727935767834e+98,2.1859994066300125e+37
2.1435218721800508e+102,2.1435218721800508e+102,2.1435218721800508e+102,2.1435218721800508e+102,8.520847624671601e+99
8.51627312615299e+97,8.51627312615299e+97,8.51627312615299e+97,8.51627312615299e+97,40746.40626696574
3.6004860246513476e+96,3.6004860246513476e+96,3.6004860246513476e+96,3.6004860246513476e+96,1.515582317474003e+39
3.715326031806737e+98,3.715326031806737e+98,3.715326031806737e+98,3.715326031806737e+98,320474.54828378756
2.042700440950079e+94,2.042700440950079e+94,2.042700440950079e+94,2.042700440950079e+94,6.957919466487969e+97
4.439054053160146e+100,4.439054053160146e+100,4.439054053160146e+100,4.439054053160146e+100,1.8394793808388192e+30
5.643670285681755e+95,5.643670285681755e+95,5.643670285681755e+95,5.643670285681755e+95,0.763556782822967
7.89832279402682e+98,7.89832279402682e+98,7.89832279402682e+98,7.89832279402682e+98,9.579127465228575e+98
1.5861095988555065e+98,1.5861095988555065e+98,1.5861095988555065e+98,1.5861095988555065e+98,274885.7057015162
3.558983476034587e+98,3.558983476034587e+98,3.558983476034587e+98,3.558983476034587e+98,2.6510524888842284e+34
1.3114602885533213e+98,1.3114602885533213e+98,1.3114602885533213e+98,1.3114602885533213e+98,2.6942607816628866e+96
8.825298104526469e+66,8.825298104526469e+66,8.825298104526469e+66,8.825298104526469e+66,7.976802400369933e+33
1.9006464256241912e+37,1.9006464256241912e+37,1.9006464256241912e+37,1.9006464256241912e+37,465114.29225757206
2.1283322068495806e+39,2.1283322068495806e+39,2.1283322068495806e+39,2.1283322068495806e+39,7.110813606187743e+30
1.0128599828795764e+98,1.0128599828795764e+98,1.0128599828795764e+98,1.0128599828795764e+98,0.7840974772282122
4.869899484140837e+95,4.869899484140837e+95,4.869899484140837e+95,4.869899484140837e+95,9119735.759303845
1.0529877295440774e+100,1.0529877295440774e+100,1.0529877295440774e+100,1.0529877295440774e+100,7.239109631226509e+37
5.542166502512258e+98,5.542166502512258e+98,5.542166502512258e+98,5.542166502512258e+98,0.7562122417590814
3.45596819107194e+98,3.45596819107194e+98,3.45596819107194e+98,3.45596819107194e+98,4.242563507915843e+36
9.702317604520743e+97,9.702317604520743e+97,9.702317604520743e+97,9.702317604520743e+97,4.182146478962909e+30
7.730791218290937e+98,7.730791218290937e+98,7.730791218290937e+98,7.730791218290937e+98,0.6113353342237663
4.18430911967865e+102,4.18430911967865e+102,4.18430911967865e+102,4.18430911967865e+102,1.1201102574533002e+100
4.36204093469838e+102,4.36204093469838e+102,4.36204093469838e+102,4.36204093469838e+102,2.709313040890309e+35
6.399772891375462e+98,6.399772891375462e+98,6.399772891375462e+98,6.399772891375462e+98,7.634451461889263e+39
1.6799515151928097e+97,1.6799515151928097e+97,1.6799515151928097e+97,1.6799515151928097e+97,1.1511109348291559e+27
8.697424704147802e+100,8.697424704147802e+100,8.697424704147802e+100,8.697424704147802e+100,3.9314576217237774e+99
6.380616643419966e+95,6.380616643419966e+95,6.380616643419966e+95,6.380616643419966e+95,3211506.6191466553
6.362833205611725e+96,6.362833205611725e+96,6.362833205611725e+96,6.362833205611725e+96,4.323722027620085e+25
1.3051110696979294e+100,1.3051110696979294e+100,1.3051110696979294e+100,1.3051110696979294e+100,3.7721181305077734e+102
3.075221809851482e+98,3.075221809851482e+98,3.075221809851482e+98,3.075221809851482e+98,8.978389561971254e+35
1.4945453353090536e+99,1.4945453353090536e+99,1.4945453353090536e+99,1.4945453353090536e+99,230586.47631751507
1.650055334694357e+38,1.650055334694357e+38,1.6500553339078509e+38,1.650055334694357e+38,1.9840995496552156e+32
2.2320216504990616e+36,2.2320216504990616e+36,2.231912453278464e+36,2.2320216504990616e+36,7.873229897500396e+33
1.8675118566391763e+96,1.8675118566391763e+96,1.8675118566391763e+96,1.8675118566391763e+96,1.6405255193805745e+100
6.977531138130728e+36,6.977531138130728e+36,6.983290876364717e+36,6.977531138130728e+36,1.0263073406720498e+37
6.938598080372517e+94,6.938598080372517e+94,6.938598080372517e+94,6.938598080372517e+94,2.691025691664245e+35
6.122933962169039e+98,6.122933962169039e+98,6.122933962169039e+98,6.122933962169039e+98,421394385.7717273
1.926162562372104e+62,1.926162562372104e+62,1.926162562372104e+62,1.926162562372104e+62,3.9010026572757306e+38
2.6066080398010703e+98,2.6066080398010703e+98,2.6066080398010703e+98,2.6066080398010703e+98,29939502.869937185
5.685468234498757e+93,5.685468234498757e+93,5.685468234498757e+93,5.685468234498757e+93,2.0379727592228668e+34
7.748024944765654e+96,7.748024944765654e+96,7.748024944765654e+96,7.748024944765654e+96,1.1016046768187603e+37
2.6027946765337923e+96,2.6027946765337923e+96,2.6027946765337923e+96,2.6027946765337923e+96,0.8020646468125353
1.4994453914343407e+100,1.4994453914343407e+100,1.4994453914343407e+100,1.4994453914343407e+100,2.052252884218642e+30
1.6489639714577536e+100,1.6489639714577536e+100,1.6489639714577536e+100,1.6489639714577536e+100,1.4557773794818136e+32
2.2254986697653473e+39,2.2254986697653473e+39,2.2254986687008186e+39,2.2254986697653473e+39,2.6520334540868515e+33
9.778977300850965e+96,9.778977300850965e+96,9.778977300850965e+96,9.778977300850965e+96,99534.63682579395
2.5931320312605237e+99,2.5931320312605237e+99,2.5931320312605237e+99,2.5931320312605237e+99,158502.88244630126
9.002616896361684e+101,9.002616896361684e+101,9.002616896361684e+101,9.002616896361684e+101,1.1426179485469989e+36
8.499555941605649e+35,8.499555941605649e+35,8.499555941605649e+35,8.499555941605649e+35,68134126.15183617
7.914609803734178e+95,7.914609803734178e+95,7.914609803734178e+95,7.914609803734178e+95,0.8599071060819453
3.83928094502383e+96,3.83928094502383e+96,3.83928094502383e+96,3.83928094502383e+96,3.310165908013126e+35
