Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
7.070335335493342e+100,7.070335335493342e+100,7.070335335493342e+100,7.070335335493342e+100,2.0728720422556868
8.704234548060358e+99,8.704234548060358e+99,8.704234548060358e+99,8.704234548060358e+99,5529.687686038298
5.4105298459386075e+93,5.4105298459386075e+93,5.4105298459386075e+93,5.4105298459386075e+93,3.7823950774558877e+33
1.5231886896333536e+36,1.5231886896333536e+36,1.523188689280847e+36,1.5231886896333536e+36,5.539178103720335e+37
5.6884125301057615e+93,5.6884125301057615e+93,5.6884125301057615e+93,5.6884125301057615e+93,5.267270146986707e+38
7.73878390131542e+97,7.73878390131542e+97,7.73878390131542e+97,7.73878390131542e+97,3.0247398052801756e+98
5.6501230962962766e+94,5.6501230962962766e+94,5.6501230962962766e+94,5.6501230962962766e+94,176249.3960624117
3.3822322010479795e+94,3.3822322010479795e+94,3.3822322010479795e+94,3.3822322010479795e+94,7074.063058648527
2.52120566454098e+99,2.52120566454098e+99,2.52120566454098e+99,2.52120566454098e+99,1.5409332397220404e+35
5.58394288550149e+92,5.58394288550149e+92,5.58394288550149e+92,5.58394288550149e+92,8.576929012488226e+35
1.4683795024188001e+97,1.4683795024188001e+97,1.4683795024188001e+97,1.4683795024188001e+97,1.4501904236044e+36
2.6624003735964515e+95,2.6624003735964515e+95,2.6624003735964515e+95,2.6624003735964515e+95,1.7441130607845461e+37
1.9195597680326997e+98,1.9195597680326997e+98,1.9195597680326997e+98,1.9195597680326997e+98,2.2394127646215388e+36
4.512653810804403e+98,4.512653810804403e+98,4.512653810804403e+98,4.512653810804403e+98,3.2691926693330147e+97
8.106367082605979e+34,8.106367082605979e+34,8.106396646456701e+34,8.106367082605979e+34,2.245567846719533e+35
1.5812614083461777e+96,1.5812614083461777e+96,1.5812614083461777e+96,1.5812614083461777e+96,7.318129925561655e+99
3.7133192654648043e+99,3.7133192654648043e+99,3.7133192654648043e+99,3.7133192654648043e+99,22955516.787295092
1.0705768139894858e+97,1.0705768139894858e+97,1.0705768139894858e+97,1.0705768139894858e+97,2.299815823861319e+34
4.2637221525203823e+95,4.2637221525203823e+95,4.2637221525203823e+95,4.2637221525203823e+95,7.751853465280651e+37
8.64025422278818e+99,8.64025422278818e+99,8.64025422278818e+99,8.64025422278818e+99,6.175144008449199e+101
1.3484519380709558e+98,1.3484519380709558e+98,1.3484519380709558e+98,1.3484519380709558e+98,7195396.550655856
1.7222886577732762e+95,1.7222886577732762e+95,1.7222886577732762e+95,1.7222886577732762e+95,3.4774993285337497e+100
1.0597275005076568e+94,1.0597275005076568e+94,1.0597275005076568e+94,1.0597275005076568e+94,1.8210494242204507e+102
1.2475996435374145e+96,1.2475996435374145e+96,1.2475996435374145e+96,1.2475996435374145e+96,7.813802342581503e+31
1.0788951639184017e+32,1.0788951639184017e+32,1.0788924696127634e+32,1.0788951639184017e+32,2.0651876961684967e+34
3.045730554100808e+96,3.045730554100808e+96,3.045730554100808e+96,3.045730554100808e+96,2.629186546795889e+96
2.147733808263498e+96,2.147733808263498e+96,2.147733808263498e+96,2.147733808263498e+96,3.903451554082155e+35
5.681582533551774e+97,5.681582533551774e+97,5.681582533551774e+97,5.681582533551774e+97,1.567291567488229
1.9123010246663086e+98,1.9123010246663086e+98,1.9123010246663086e+98,1.9123010246663086e+98,1.6927918019232144e+30
3.271704827228015e+98,3.271704827228015e+98,3.271704827228015e+98,3.271704827228015e+98,0.8540996520041725
1.494536604721672e+96,1.494536604721672e+96,1.494536604721672e+96,1.494536604721672e+96,1.4688409374550991e+35
4.969253108463785e+34,4.969253108463785e+34,5.194461428168808e+34,4.969253108463785e+34,1.3142559362193278e+38
2.1305605823238255e+99,2.1305605823238255e+99,2.1305605823238255e+99,2.1305605823238255e+99,49360.378635468915
1.2426728540349152e+96,1.2426728540349152e+96,1.2426728540349152e+96,1.2426728540349152e+96,0.8400489420401145
1.0432537497039303e+98,1.0432537497039303e+98,1.0432537497039303e+98,1.0432537497039303e+98,1.332771193692222e+34
1.6142007404823356e+95,1.6142007404823356e+95,1.6142007404823356e+95,1.6142007404823356e+95,0.6349112427486321
1.0591810641126904e+99,1.0591810641126904e+99,1.0591810641126904e+99,1.0591810641126904e+99,0.8393091152598574
7.891174318579573e+35,7.891174318579573e+35,7.89117442843646e+35,7.891174318579573e+35,7.227374302508891e+36
1.6445618135062294e+92,1.6445618135062294e+92,1.6445618135062294e+92,1.6445618135062294e+92,2.686043221414942e+31
1.390234587316407e+96,1.390234587316407e+96,1.390234587316407e+96,1.390234587316407e+96,8.918479924736468e+31
1.5250726920344046e+98,1.5250726920344046e+98,1.5250726920344046e+98,1.5250726920344046e+98,7.860487626348657e+97
3.5389702983477386e+35,3.5389702983477386e+35,3.5389702983477386e+35,3.5389702983477386e+35,148017615.51911545
1.7083301571226844e+97,1.7083301571226844e+97,1.7083301571226844e+97,1.7083301571226844e+97,717956.0523373137
1.1829241379151801e+95,1.1829241379151801e+95,1.1829241379151801e+95,1.1829241379151801e+95,8.319607219694447e+100
4.1540306567868443e+96,4.1540306567868443e+96,4.1540306567868443e+96,4.1540306567868443e+96,46727.35410093799
5.837691711415427e+99,5.837691711415427e+99,5.837691711415427e+99,5.837691711415427e+99,1960578.1484720327
2.0846097229181195e+94,2.0846097229181195e+94,2.0846097229181195e+94,2.0846097229181195e+94,6068956508.845119
2.4405518362609033e+94,2.4405518362609033e+94,2.4405518362609033e+94,2.4405518362609033e+94,6.42307498749976e+30
4.904651081986727e+94,4.904651081986727e+94,4.904651081986727e+94,4.904651081986727e+94,5.91462156116267e+96
1.551693795663512e+97,1.551693795663512e+97,1.551693795663512e+97,1.551693795663512e+97,179915.2439843401
2.877028770995303e+93,2.877028770995303e+93,2.877028770995303e+93,2.877028770995303e+93,3.0785423768643953e+31
1.5263629829470895e+35,1.5263629829470895e+35,1.5263629829470895e+35,1.5263629829470895e+35,1263577.1095809026
1.1743026625950364e+97,1.1743026625950364e+97,1.1743026625950364e+97,1.1743026625950364e+97,2.953471261335691e+33
4.041094214124225e+99,4.041094214124225e+99,4.041094214124225e+99,4.041094214124225e+99,0.8998677105119387
6.67043244694733e+92,6.67043244694733e+92,6.67043244694733e+92,6.67043244694733e+92,3.0192854714388496e+35
3.3135340338688274e+45,3.3135340338688274e+45,3.313534033868827e+45,3.3135340338688274e+45,3.0117479461860875e+37
3.760576463685301e+66,3.760576463685301e+66,3.760576463685301e+66,3.760576463685301e+66,5.990424322563417e+97
2.834455848753175e+95,2.834455848753175e+95,2.834455848753175e+95,2.834455848753175e+95,4.530797252695436e+31
9.423199898339131e+31,9.423199898339131e+31,9.423199898335231e+31,9.423199898339131e+31,591684030394.4763
2.6755985342770224e+37,2.6755985342770224e+37,2.6755985342770224e+37,2.6755985342770224e+37,2.833894925580707e+37
6.404769932616692e+97,6.404769932616692e+97,6.404769932616692e+97,6.404769932616692e+97,5.6760468069293856e+35
