,GENE,POS
4133,ENSG00000201421,"[185220445, 185220543]"
325,ENSG00000271264,"[9840880, 9841298]"
1355,ENSG00000198198,"[43855553, 43918321]"
3568,ENSG00000018625,"[160085549, 160113381]"
1060,ENSG00000224333,"[32867710, 32868716]"
1852,ENSG00000231622,"[65620163, 65620333]"
3612,ENSG00000268154,"[161035655, 161035943]"
4474,ENSG00000229874,"[206135293, 206137984]"
1886,ENSG00000235200,"[67995313, 67998012]"
119,ENSG00000197785,"[1447531, 1470067]"
5077,ENSG00000206803,"[236078715, 236078821]"
4631,ENSG00000143494,"[213123862, 213165379]"
4749,ENSG00000263877,"[222881579, 222881873]"
976,ENSG00000116353,"[29519385, 29557454]"
3813,ENSG00000117475,"[169337208, 169365778]"
3448,ENSG00000143294,"[156720402, 156770607]"
3123,ENSG00000163156,"[151129140, 151142773]"
3505,ENSG00000163554,"[158580496, 158656488]"
1011,ENSG00000229447,"[31736092, 31736528]"
2227,ENSG00000251795,"[93303575, 93303627]"
4005,ENSG00000228191,"[179240251, 179240401]"
1759,ENSG00000235215,"[59521671, 59543788]"
3802,ENSG00000221578,"[168717034, 168717120]"
313,ENSG00000252841,"[9338450, 9338592]"
1144,ENSG00000232335,"[36204990, 36209177]"
4099,ENSG00000157064,"[183217372, 183387737]"
2900,ENSG00000225603,"[146522379, 146524043]"
3445,ENSG00000143303,"[156698234, 156706752]"
1356,ENSG00000229372,"[43913447, 43914315]"
2586,ENSG00000239111,"[112738124, 112738228]"
3808,ENSG00000252987,"[169036502, 169036602]"
1577,ENSG00000272175,"[52266700, 52266979]"
636,ENSG00000242688,"[20297462, 20297760]"
1715,ENSG00000227104,"[56404387, 56404953]"
1197,ENSG00000196449,"[38268616, 38273857]"
1922,ENSG00000228988,"[70684272, 70686706]"
1113,ENSG00000216162,"[35244162, 35244245]"
1875,ENSG00000116704,"[67465015, 67519782]"
280,ENSG00000227634,"[8268732, 8275270]"
2971,ENSG00000236140,"[148246959, 148248104]"
314,ENSG00000171621,"[9352939, 9429591]"
1160,ENSG00000214193,"[36771988, 36790484]"
3404,ENSG00000222611,"[156047164, 156047245]"
2776,ENSG00000228826,"[121236177, 121252181]"
4048,ENSG00000243155,"[180913178, 180945618]"
3950,ENSG00000116147,"[175284330, 175712906]"
3897,ENSG00000120337,"[173009100, 173020103]"
3189,ENSG00000183586,"[152372053, 152372245]"
2652,ENSG00000134198,"[115590632, 115632121]"
3922,ENSG00000252231,"[173890208, 173890338]"
3766,ENSG00000143190,"[167190066, 167396582]"
2911,ENSG00000131778,"[146714291, 146767443]"
3224,ENSG00000169469,"[153003678, 153005376]"
3214,ENSG00000186844,"[152799949, 152800573]"
1447,ENSG00000117461,"[46505812, 46642160]"
2910,ENSG00000236806,"[146695146, 146695940]"
3179,ENSG00000159450,"[152078793, 152086556]"
2070,ENSG00000231364,"[83911736, 83920454]"
4080,ENSG00000143333,"[182567758, 182573543]"
1122,ENSG00000163867,"[35449523, 35497569]"
2968,ENSG00000256374,"[148201752, 148202536]"
2133,ENSG00000235251,"[87510618, 87511554]"
206,ENSG00000116198,"[3728645, 3773778]"
758,ENSG00000264347,"[24208284, 24208575]"
1892,ENSG00000172380,"[68167149, 68299150]"
4194,ENSG00000238108,"[190766654, 190767086]"
1246,ENSG00000084072,"[40157854, 40229586]"
407,ENSG00000263676,"[12251770, 12251830]"
4915,ENSG00000201355,"[228775084, 228775202]"
196,ENSG00000116213,"[3547331, 3569325]"
1697,ENSG00000242396,"[55352548, 55353674]"
